pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(176, 53), (121, 39), (125, 149)], fitness=(0.02636850649453082,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(119, 151), (179, 38), (91, 23)], fitness=(0.02631982886028794,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(93, 48), (81, 68), (68, 198)], fitness=(0.026373453731728835,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(120, 30), (118, 156), (24, 121)], fitness=(0.02634469572924303,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(126, 162), (59, 70), (46, 80)], fitness=(0.026316946126396012,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(164, 175), (63, 167), (119, 40)], fitness=(0.02636694839865583,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(155, 164), (27, 136), (40, 28)], fitness=(0.026357386516327463,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(132, 143), (165, 131), (102, 25)], fitness=(0.02635199159589363,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(161, 42), (158, 151), (161, 155)], fitness=(0.02637740806087252,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(169, 32), (88, 68), (25, 98)], fitness=(0.02634131799935624,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(81, 141), (46, 103), (25, 32)], fitness=(0.02636363732837088,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(62, 98), (96, 115), (94, 96)], fitness=(0.0,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(33, 124), (16, 108), (121, 30)], fitness=(0.02632024557437873,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(122, 176), (152, 110), (32, 28)], fitness=(0.0263783380862902,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(162, 133), (112, 62), (20, 47)], fitness=(0.026376816893755373,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(132, 138), (101, 65), (149, 57)], fitness=(0.026343155568113397,)
pop_size=5, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(177, 147), (168, 159), (23, 113)], fitness=(0.026377201060334143,)
pop_size=15, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(31, 58), (107, 52), (106, 146)], fitness=(0.02636147827516433,)
pop_size=15, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(28, 40), (134, 54), (143, 75)], fitness=(0.02638234718809851,)
pop_size=15, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(196, 181), (104, 60), (35, 59)], fitness=(0.026375615745386494,)
pop_size=15, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(87, 152), (25, 107), (27, 37)], fitness=(0.026440444606637747,)
pop_size=15, num_gens=5, cxpb=0.9, mutpb=0.9, best_individual=[(16, 50), (116, 118), (131, 197)], fitness=(0.026380432657238218,)
pop_size=15, num_gens=5, cxpb=0.9, mutpb=0.1, best_individual=[(168, 111), (119, 64), (37, 92)], fitness=(0.02636945571360949,)
pop_size=15, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(24, 135), (85, 58), (177, 74)], fitness=(0.0264486177400165,)
pop_size=15, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(142, 162), (143, 131), (54, 68)], fitness=(0.02636938673032907,)
pop_size=15, num_gens=5, cxpb=0.9, mutpb=0.5, best_individual=[(44, 34), (28, 124), (114, 188)], fitness=(0.36170966249495995,)
pop_size=15, num_gens=5, cxpb=0.1, mutpb=0.1, best_individual=[(88, 34), (64, 184), (188, 177)], fitness=(0.026356539564672987,)
